iter	Passed	Remaining
0	1	1755
1	3	1770
2	5	1759
3	6	1724
4	8	1745
5	11	1851
6	13	1982
7	16	1999
8	17	1962
9	19	1937
10	21	1921
11	23	1907
12	25	1946
13	28	1997
14	30	2004
15	32	2017
16	34	1983
17	35	1960
18	37	1944
19	39	1938
20	42	1994
21	45	2024
22	46	1976
23	48	1961
24	49	1946
25	51	1930
26	53	1918
27	55	1911
28	57	1938
29	60	1955
30	62	1945
31	63	1934
32	65	1924
33	67	1914
34	69	1904
35	70	1897
36	72	1874
37	74	1891
38	77	1903
39	79	1896
40	80	1890
41	82	1881
42	84	1872
43	85	1867
44	88	1885
45	91	1890
46	92	1884
47	94	1868
48	96	1868
49	97	1848
50	99	1842
51	100	1835
52	102	1839
53	105	1845
54	107	1846
55	109	1840
56	111	1836
57	112	1830
58	114	1824
59	116	1819
60	118	1816
61	119	1802
62	121	1806
63	123	1804
64	125	1806
65	127	1801
66	129	1796
67	130	1791
68	132	1788
69	135	1804
70	138	1813
71	140	1809
72	142	1803
73	143	1797
74	145	1791
75	146	1785
76	149	1790
77	151	1796
78	154	1795
79	155	1789
80	156	1776
81	158	1770
82	159	1765
83	161	1761
84	163	1757
85	166	1767
86	168	1772
87	170	1768
88	172	1763
89	173	1758
90	175	1753
91	177	1749
92	179	1746
93	181	1753
94	184	1757
95	185	1751
96	187	1747
97	189	1742
98	190	1738
99	192	1733
100	194	1731
101	197	1737
102	199	1741
103	201	1737
104	203	1732
105	204	1728
106	206	1723
107	208	1719
108	210	1718
109	212	1722
110	215	1722
111	216	1718
112	218	1713
113	219	1709
114	221	1704
115	223	1700
116	224	1697
117	227	1698
118	229	1700
119	231	1697
120	233	1699
121	235	1695
122	237	1691
123	238	1687
124	240	1685
125	243	1692
126	246	1696
127	248	1693
128	250	1689
129	251	1685
130	253	1682
131	255	1679
132	257	1681
133	260	1685
134	263	1685
135	264	1682
136	266	1678
137	267	1670
138	269	1667
139	270	1663
140	273	1664
141	275	1665
142	277	1664
143	279	1659
144	280	1656
145	281	1648
146	283	1644
147	285	1642
148	286	1638
149	289	1639
150	292	1641
151	293	1638
152	295	1634
153	296	1631
154	298	1628
155	300	1624
156	301	1621
157	304	1620
158	305	1614
159	307	1615
160	309	1612
161	311	1608
162	312	1605
163	314	1602
164	316	1599
165	317	1596
166	319	1596
167	322	1597
168	324	1594
169	326	1595
170	328	1592
171	330	1589
172	331	1586
173	334	1587
174	337	1590
175	339	1591
176	341	1588
177	343	1585
178	344	1581
179	346	1578
180	348	1575
181	350	1575
182	353	1577
183	355	1577
184	357	1574
185	358	1570
186	360	1568
187	362	1564
188	364	1562
189	366	1563
190	369	1564
191	371	1561
192	372	1558
193	374	1555
194	375	1552
195	377	1549
196	379	1546
197	382	1550
198	385	1550
199	387	1548
200	388	1544
201	390	1542
202	391	1539
203	393	1535
204	395	1535
205	398	1535
206	400	1533
207	401	1530
208	403	1527
209	405	1524
210	406	1521
211	408	1518
212	410	1515
213	412	1514
214	414	1514
215	416	1512
216	419	1512
217	421	1511
218	422	1508
219	424	1505
220	426	1503
221	429	1504
222	431	1504
223	433	1502
224	435	1498
225	436	1496
226	438	1493
227	440	1490
228	442	1489
229	444	1489
230	447	1488
231	448	1485
232	450	1482
233	451	1479
234	453	1476
235	455	1473
236	457	1472
237	460	1472
238	462	1471
239	463	1469
240	465	1466
241	467	1463
242	468	1460
243	470	1457
244	472	1456
245	475	1455
246	477	1455
247	478	1452
248	480	1449
249	482	1447
250	484	1444
251	485	1441
252	487	1439
253	490	1440
254	493	1441
255	495	1438
256	496	1436
257	498	1433
258	500	1430
259	501	1428
260	504	1427
261	506	1426
262	508	1425
263	511	1425
264	512	1422
265	514	1419
266	516	1417
267	518	1414
268	521	1416
269	523	1415
270	525	1414
271	527	1411
272	529	1409
273	530	1406
274	532	1403
275	534	1401
276	537	1403
277	540	1402
278	542	1400
279	543	1398
280	545	1395
281	547	1392
282	548	1390
283	551	1390
